  i            r          v_r          rho          t_r          t_e
139 3.153466e+14 1.875476e+09 7.747833e-14 6.688367e+04 6.019530e+04
140 3.255852e+14 1.835336e+09 7.647955e-14 6.582623e+04 5.924361e+04
141 3.361563e+14 1.801793e+09 7.577047e-14 6.477910e+04 5.830119e+04
142 3.470706e+14 1.780748e+09 7.507483e-14 6.372332e+04 5.735099e+04
143 3.583393e+14 1.773105e+09 7.417617e-14 6.263281e+04 5.636953e+04
144 3.699739e+14 1.760772e+09 7.308715e-14 6.149729e+04 5.534756e+04
145 3.819862e+14 1.745672e+09 6.935770e-14 6.031615e+04 5.428454e+04
146 3.943885e+14 1.732306e+09 6.458499e-14 5.912372e+04 5.321135e+04
147 4.071935e+14 1.739374e+09 5.838993e-14 5.795493e+04 5.215943e+04
148 4.204142e+14 1.757975e+09 5.246002e-14 5.681197e+04 5.113077e+04
149 4.340642e+14 1.770303e+09 4.771907e-14 5.568802e+04 5.011922e+04
150 4.481574e+14 1.765018e+09 4.386875e-14 5.456833e+04 4.911150e+04
151 4.627082e+14 1.766098e+09 4.099717e-14 5.346519e+04 4.811867e+04
152 4.777314e+14 1.796838e+09 3.888919e-14 5.233586e+04 4.710227e+04
153 4.932423e+14 1.838586e+09 3.710269e-14 5.121235e+04 4.609112e+04
154 5.092569e+14 1.856158e+09 3.593285e-14 5.002960e+04 4.502664e+04
155 5.257914e+14 1.857056e+09 3.340128e-14 4.874166e+04 4.386750e+04
156 5.428628e+14 1.881220e+09 3.025659e-14 4.738858e+04 4.264973e+04
157 5.604885e+14 1.941515e+09 2.689101e-14 4.606990e+04 4.146291e+04
158 5.786864e+14 2.014984e+09 2.398413e-14 4.480005e+04 4.032005e+04
159 5.974752e+14 2.069968e+09 2.170369e-14 4.354221e+04 3.918798e+04
160 6.168740e+14 2.101787e+09 2.009993e-14 4.230769e+04 3.807692e+04
161 6.369026e+14 2.141258e+09 1.799875e-14 4.105938e+04 3.695344e+04
162 6.575815e+14 2.203212e+09 1.567095e-14 3.983135e+04 3.584822e+04
163 6.789319e+14 2.273774e+09 1.351222e-14 3.870301e+04 3.483271e+04
164 7.009754e+14 2.343873e+09 1.184552e-14 3.766923e+04 3.390230e+04
165 7.237347e+14 2.410473e+09 1.043522e-14 3.680172e+04 3.312155e+04
