  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  0 106     -1 2.171758e+13 7.571429e+01  2.149111e+08 0.000000e+00  3.636849e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 107     -1 2.171758e+13 7.642857e+01  9.089174e+07 0.000000e+00  3.058416e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 108     -1 2.171758e+13 7.714286e+01 -3.092686e+07 0.000000e+00  2.514740e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 109     -1 2.171758e+13 7.785714e+01 -1.497910e+08 0.000000e+00  2.016448e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 110     -1 2.171758e+13 7.857143e+01 -2.646900e+08 0.000000e+00  1.552675e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 111     -1 2.171758e+13 7.928571e+01 -3.752519e+08 0.000000e+00  1.098596e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 112     -1 2.171758e+13 8.000000e+01 -4.809300e+08 0.000000e+00  6.367468e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 113     -1 2.171758e+13 8.071429e+01 -5.810138e+08 0.000000e+00  1.937128e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 114     -1 2.171758e+13 8.142857e+01 -6.745315e+08 0.000000e+00 -1.885955e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 115     -1 2.171758e+13 8.214286e+01 -7.605238e+08 0.000000e+00 -4.913586e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 116     -1 2.171758e+13 8.285714e+01 -8.392987e+08 0.000000e+00 -7.366093e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 117     -1 2.171758e+13 8.357143e+01 -9.113999e+08 0.000000e+00 -9.594520e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 118     -1 2.171758e+13 8.428571e+01 -9.771608e+08 0.000000e+00 -1.155538e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 119     -1 2.171758e+13 8.500000e+01 -1.035973e+09 0.000000e+00 -1.283822e+08 0.000000e+00 0.000000e+00 0.000000e+00
